mz,rt,int1 mz,rt,int2 mz,rt,int3,
371.11,41.448,2349.3108.08,23.106,1458.1108.08,23.106,1578.3
108.08,23.135,1634.9376.27,49.071,1391.9376.27,49.059,1279.3
393.29,49.088,1229.4393.29,49.01,1293.4393.29,48.995,1061.2
387.18,44.684,1190.0398.25,48.365,986.7471.03,43.707,944.38
398.25,48.381,1103.2387.18,44.678,972.06387.18,44.716,943.62
376.27,49.197,1081.9471.03,43.717,703.62398.25,48.325,695.53
471.03,43.693,768.88394.29,49.022,645.29377.27,49.034,645.18
372.11,41.502,747.72377.27,49.127,606.37104.11,23.128,627.06
409.17,45.007,737.57194.12,31.588,578.49409.17,44.997,621.45
194.12,31.608,702.14409.17,45.014,567.55472.03,43.753,539.47
373.1,41.464,673.83104.11,23.132,487.19394.29,49.045,479.13
377.27,49.237,629.34166.09,29.113,484.99132.1,27.312,426.11
104.11,23.149,594.22316.22,39.149,447.1194.12,31.593,404.87
74.058,21.782,559.01123.06,24.811,420.72399.25,48.455,395.93
399.26,48.345,548.4361.036,21.079,385.2574.058,21.773,374.45
316.21,39.118,537.27132.1,27.241,366.85316.22,39.133,356.87
394.29,49.11,490.2774.058,21.733,291.62166.09,29.129,355.93
414.22,48.616,478.09414.22,48.678,287.92118.98,43.69,314.41
65.057,19.003,443.63399.25,48.322,271.26123.06,24.798,308.7
425.15,45.201,416.25472.03,43.899,237.32202.18,30.996,303.62
202.18,31.015,404.44116.07,24.598,237.23473.03,43.612,265.38
115.07,23.163,404.32118.09,25.643,227.4580.048,20.7,262.81
132.1,27.357,387.49425.15,45.231,210.83132.96,26.371,260.76
123.06,24.871,361.3120.08,29.072,210.8261.036,21.206,248.32
166.09,29.131,343.76279.17,38.157,201.25136.02,24.738,229.34
192.16,30.143,343.14202.18,30.981,199.72116.07,24.592,212.96
118.98,26.579,335.05141.04,24.944,193.91120.08,29.16,199.54
157.11,28.293,330.8880.048,20.694,182.7490.053,23.722,187.24
80.048,20.724,329.67203.06,30.274,174.6975.089,21.329,185.37
212.12,32.334,326.47373.1,31.513,173.45637.31,64.546,180.03
118.98,26.63,307.5185.11,30.254,170.8141.09,25.067,167.19
75.089,21.359,307.33136.02,24.815,167.1658.062,21.332,158.57
445.13,75.0,273.1675.089,21.326,153.76141.04,25.09,151.7
157.17,28.322,270.1560.077,19.488,149.9172.078,22.447,135.95
388.16,44.632,268.56410.17,44.953,144.76118.09,24.11,133.39
137.12,26.359,251.4872.079,22.465,142.89148.06,26.494,132.39
136.01,24.766,246.54211.14,32.149,134.47122.07,24.571,125.91
550.22,54.289,238.9286.093,27.231,133.28425.15,45.135,125.79
132.96,26.607,236.4190.054,23.63,128.63114.09,24.102,120.03
338.35,45.246,230.99235.18,34.009,114.46414.22,48.643,116.03
127.11,25.347,220.61167.1,29.644,111.2297.063,34.701,114.49
141.04,25.037,220.3370.063,20.401,106.64215.01,30.564,106.93
72.078,22.493,209.6127.11,25.342,93.591118.09,25.653,103.34
245.05,32.942,208.58148.06,26.487,91.40960.077,19.624,93.299
113.09,24.033,207.05113.09,24.031,87.844100.08,23.555,90.996
90.054,23.74,206.89245.06,75.0,83.413102.12,23.087,56.141
60.077,19.573,205.3102.12,23.131,75.475
199.16,31.103,193.4158.061,21.329,73.929
141.09,25.036,179.87
235.19,33.973,174.53
116.07,24.664,171.46
203.05,29.919,169.24
415.22,47.461,165.26
58.062,21.34,163.24
148.06,26.608,161.76
114.09,25.054,153.02
410.17,45.1,148.51
647.45,67.512,146.06
61.033,21.27,141.58
118.08,25.768,139.34
102.12,23.068,89.654
205.02,30.576,87.463
